Winner17,leaveHanretty,Majority17,c11Degree,mp_first_start,frontbench,in_experiment,in_experimentn,Region
2,22.93742067,50.15050852287908,40.19095431309172,2015-05-08,FALSE,Excluded (no letters),Excluded,7
1,45.11085395,10.936258454621212,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
1,44.645166780000004,19.281512948288537,NA,2005-05-05,TRUE,Excluded (no letters),Excluded,11
3,26.868196259999998,10.306750834925966,NA,2005-05-05,FALSE,Excluded (no letters),Excluded,11
4,38.005552980000004,5.190209377764671,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,38.411670380000004,15.479407379798731,NA,2005-05-05,TRUE,Excluded (no letters),Excluded,11
4,40.74563339,13.604984874731752,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,39.39283743,1.6545775338168989,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
2,43.336733960000004,25.58563032861518,19.588357897871074,2005-05-05,TRUE,Included (letters sent),Included,1
2,60.304871989999995,29.893263099528696,10.185120502968914,2001-06-07,FALSE,Included (letters sent),Included,1
2,55.046200430000006,18.354139701891363,11.987688746251381,2017-06-09,TRUE,Included (letters sent),Included,1
5,47.428228839999996,15.98128377487808,13.158254952189132,2015-05-08,TRUE,Excluded (no letters),Excluded,10
2,29.15028059,24.948502041848865,40.139953008478905,2015-05-08,FALSE,Included (letters sent),Included,7
2,46.25609216,37.49904790920862,21.892535283115116,1997-05-01,TRUE,Excluded (no letters),Excluded,7
2,41.82634912,48.93122161922693,24.009486247518883,2007-07-20,FALSE,Excluded (no letters),Excluded,7
2,65.96337482999999,40.95259047409526,7.028414623351333,2010-05-06,FALSE,Included (letters sent),Included,1
2,46.269281289999995,70.42360461215192,22.948184070423277,1994-06-09,FALSE,Excluded (no letters),Excluded,7
4,36.9324131,7.145761709363795,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
2,35.39559572,5.51737714306167,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
3,57.54446064,2.8021595262974572,12.658441018962401,2010-05-06,FALSE,Excluded (no letters),Excluded,8
1,54.34589934,24.753840782122904,14.330307146090975,2015-05-08,TRUE,Excluded (no letters),Excluded,8
1,52.166668640000005,23.270133868547713,17.86779714240854,2015-05-08,FALSE,Excluded (no letters),Excluded,2
4,27.63678537,7.869402384945891,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,21.79552346,2.8734615928702785,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
2,22.15338737,32.42892976588629,NA,2010-05-06,FALSE,Excluded (no letters),Excluded,11
4,27.86164648,2.22109738813525,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
3,28.76601964,5.659626858604034,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
2,45.5096172,48.34241494573928,14.573151834457768,2015-05-08,TRUE,Excluded (no letters),Excluded,7
2,58.341978080000004,22.360077740042012,12.4961435983733,2015-05-08,TRUE,Excluded (no letters),Excluded,2
1,56.79310101,16.467367572469854,16.346012809856745,2010-05-06,FALSE,Excluded (no letters),Excluded,3
2,51.81526511,13.64099230852562,19.234347445741978,1997-05-01,FALSE,Excluded (no letters),Excluded,7
2,49.21544262,21.099557294347782,17.49006967093491,1997-05-01,FALSE,Excluded (no letters),Excluded,7
2,37.884815859999996,9.011339182254593,28.76071804643233,2017-06-09,FALSE,Included (letters sent),Included,7
1,61.01128584,35.92626873313771,16.5681238922024,1997-05-01,FALSE,Excluded (no letters),Excluded,6
1,47.78075706,34.5476327067796,23.42354161945541,2001-06-07,TRUE,Included (letters sent),Included,8
1,63.22379118,9.10789256945421,9.952372277021576,2015-05-08,FALSE,Included (letters sent),Included,4
2,54.630878530000004,22.521590500179922,16.252318662523184,2010-05-06,FALSE,Excluded (no letters),Excluded,7
1,41.56633024,38.932522308746364,31.372251705837755,2010-05-06,TRUE,Excluded (no letters),Excluded,8
2,44.82789363,29.079984843837398,19.408380713614182,1997-05-01,FALSE,Excluded (no letters),Excluded,9
4,42.10588228,9.149027114423237,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,55.52010727,37.80650366576631,15.09469248319972,2015-05-08,TRUE,Excluded (no letters),Excluded,8
1,58.67045504,35.001708577056824,14.219142392866255,2015-05-08,FALSE,Excluded (no letters),Excluded,8
2,55.932005370000006,29.424632734267448,18.585636707547746,2011-12-16,FALSE,Excluded (no letters),Excluded,7
4,36.31478353,0.00478217206255081,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,48.77303387,8.26397380773934,17.629077900581986,2010-05-06,FALSE,Excluded (no letters),Excluded,9
1,31.10078691,3.1631192135153188,38.19018723634172,2010-05-06,FALSE,Excluded (no letters),Excluded,7
1,61.64041021,26.175796178343948,11.155850307910944,2010-05-06,FALSE,Excluded (no letters),Excluded,8
1,57.88889683,18.35532288909923,12.493004253413924,2005-05-05,FALSE,Excluded (no letters),Excluded,9
1,56.728642969999996,25.405126218606753,16.4656704244225,2010-05-06,FALSE,Included (letters sent),Included,2
1,61.95582416999999,33.10257656781721,12.472965131613652,1983-06-09,FALSE,Excluded (no letters),Excluded,4
2,47.96281365,60.06688838234745,13.66542620944579,1997-05-01,FALSE,Excluded (no letters),Excluded,2
2,56.223255019999996,41.20846495499133,13.741275431874186,2010-05-06,FALSE,Included (letters sent),Included,1
2,56.29742908000001,9.082465848844858,13.989890970678523,1997-05-01,FALSE,Included (letters sent),Included,4
1,63.58208955,19.296881394777767,9.508822488497902,2010-05-06,FALSE,Excluded (no letters),Excluded,8
4,28.75060852,6.300022232103157,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,43.837314109999994,0.20737709450865455,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
4,21.62047426,3.166731395453052,NA,2015-05-08,FALSE,Excluded (no letters),Excluded,11
2,40.6576167,0.7616050354051928,NA,2017-06-09,TRUE,Excluded (no letters),Excluded,11
4,31.49285296,6.593038821954485,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,28.19188863,4.5499438832772165,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,40.86436703,0.16959692464243314,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
4,47.61388839,8.0868338325206075,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
1,58.90014719,10.208799541343788,10.983665089708113,2010-05-06,FALSE,Included (letters sent),Included,9
1,38.81886524,4.85610505727857,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
1,61.815192620000005,34.7830480386411,10.19298514320723,2010-05-06,TRUE,Excluded (no letters),Excluded,8
2,49.30873269,7.172634720028085,18.797863843515575,2017-06-09,FALSE,Excluded (no letters),Excluded,10
1,60.995914129999996,35.50615800540703,13.086137645908668,2010-05-06,FALSE,Included (letters sent),Included,4
1,65.37720795,19.07667816396922,10.680055333234524,2005-05-05,FALSE,Excluded (no letters),Excluded,8
2,71.44662955,7.221080487598885,6.4069889275904055,2015-05-08,TRUE,Excluded (no letters),Excluded,3
